screen_name,text,created_at,source,user_source,hour,with_photo,with_url,media,hashtag,raw_text,scores,compound,sentiment
KingJames,"No way @Money23Green gonna shut up and dribble 🤣. Great to see my @morethanavote Brother leading on this one. 🙏🏾✊🏾💪🏾👑
https://t.co/cS42w2q5Zb",2020-06-26 23:03:10+00:00,iPhone,KingJames | iPhone,23,No,Yes,without Image/URL,0,No way @Money23Green gonna shut up and dribble Great to see my @morethanavote Brother leading on this one ,"{'neg': 0.087, 'neu': 0.751, 'pos': 0.162, 'compound': 0.4404}",0.4404,positive
KingJames,RT @uninterrupted: Big news today!! 🙏🏽 @thespringhillco https://t.co/wyhLNDYKzX,2020-06-26 15:26:32+00:00,iPhone,KingJames | iPhone,15,Yes,Yes,with Image/URL,0,RT @uninterrupted Big news today @thespringhillco ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,We’d like to Welcome you all! Take on this ride with US! 🎢🚀🏆👑 https://t.co/BZx12AqxpT,2020-06-26 15:25:46+00:00,iPhone,KingJames | iPhone,15,No,Yes,without Image/URL,0,We d like to Welcome you all Take on this ride with US ,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.7256}",0.7256,positive
KingJames,RT @pr_RWTW: 🚀🚀🚀,2020-06-25 21:42:00+00:00,iPhone,KingJames | iPhone,21,No,No,without Image/URL,0,RT @pr RWTW ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,FACTS!!!!! No question about it. 🤦🏾‍♂️ https://t.co/gTlC5J14gC,2020-06-25 21:40:49+00:00,iPhone,KingJames | iPhone,21,No,Yes,without Image/URL,0,FACTS No question about it ,"{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.5216}",-0.5216,negative
KingJames,RT @LFC: 🤩 C H A M P I O N S 🤩 https://t.co/6Ep1c82V3c,2020-06-25 21:38:23+00:00,iPhone,KingJames | iPhone,21,Yes,Yes,with Image/URL,0,RT @LFC C H A M P I O N S ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,"RT @LFC: Tell the world…

We are Liverpool, champions of England. https://t.co/altgWn1Wda",2020-06-25 21:17:40+00:00,iPhone,KingJames | iPhone,21,Yes,Yes,with Image/URL,0,RT @LFC Tell the world We are Liverpool champions of England ,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5267}",0.5267,positive
KingJames,RT @LFC: WE’RE PREMIER LEAGUE CHAMPIONS!! 🏆 https://t.co/qX7Duxoslm,2020-06-25 21:17:35+00:00,iPhone,KingJames | iPhone,21,Yes,Yes,with Image/URL,0,RT @LFC WE RE PREMIER LEAGUE CHAMPIONS ,"{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.6924}",0.6924,positive
KingJames,PREMIER LEAGUE CHAMPIONS!!!!!!!!!!!!!!! LET’S GO 🗣🗣🗣🗣🗣 @LFC #YNWA♥️ 🙏🏾💪🏾🏆👑,2020-06-25 21:17:26+00:00,iPhone,KingJames | iPhone,21,No,No,without Image/URL,1,PREMIER LEAGUE CHAMPIONS LET S GO @LFC #YNWA ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,RT @mavcarter: It’s about the people and the process. I’m proud to have been a part of this process for the last 5 years with @uninterrupte…,2020-06-25 21:10:19+00:00,iPhone,KingJames | iPhone,21,No,No,without Image/URL,0,RT @mavcarter It s about the people and the process I m proud to have been a part of this process for the last 5 years with @uninterrupte ,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4767}",0.4767,positive
KingJames,Our leadership team is a reflection of our entire organization. I want to thank everyone at The Springhill Company for believing in our vision! We closed this deal in March and I knew our work was going to keep getting more and more necessary. Let’s continue greatness. 🚀👑 https://t.co/O3jQR47bjf,2020-06-25 17:16:47+00:00,iPhone,KingJames | iPhone,17,Yes,Yes,with Image/URL,0,Our leadership team is a reflection of our entire organization I want to thank everyone at The Springhill Company for believing in our vision We closed this deal in March and I knew our work was going to keep getting more and more necessary Let s continue greatness ,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.6239}",0.6239,positive
KingJames,"Incredibly proud of today’s announcement! We started building this company almost 5 years ago and while I love every project and story we tell…I am most proud of our team. 100+ employees, 64% people of color and 40% female in an industry that avg 25%. https://t.co/UqPTJ341Xz",2020-06-25 17:16:22+00:00,iPhone,KingJames | iPhone,17,No,Yes,without Image/URL,0,Incredibly proud of today s announcement We started building this company almost 5 years ago and while I love every project and story we tell I am most proud of our team 100 employees 64 people of color and 40 female in an industry that avg 25 ,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.9058}",0.9058,positive
KingJames,RT @mavcarter: Join our fight against voter suppression. ✊🏾 https://t.co/ElkhDa4AS3 @morethanavote #BlackLivesMatter https://t.co/Xj5CaEII7o,2020-06-24 21:51:06+00:00,iPhone,KingJames | iPhone,21,Yes,Yes,with Image/URL,1,RT @mavcarter Join our fight against voter suppression ,"{'neg': 0.165, 'neu': 0.696, 'pos': 0.139, 'compound': -0.1027}",-0.1027,negative
KingJames,RT @IPROMISESchool: “We believe that if you’re going to create real change for children in urban districts that you need to do it through t…,2020-06-24 21:50:57+00:00,iPhone,KingJames | iPhone,21,No,No,without Image/URL,0,RT @IPROMISESchool We believe that if you re going to create real change for children in urban districts that you need to do it through t ,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.2732}",0.2732,positive
KingJames,"RT @LJFamFoundation: ""You never know when the time is right... you just do it... and let's figure it out, let's learn together."" ~ @KingJam…",2020-06-24 21:50:51+00:00,iPhone,KingJames | iPhone,21,No,No,without Image/URL,0,RT @LJFamFoundation You never know when the time is right you just do it and let's figure it out let's learn together @KingJam ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,"🦶🏾on the ⛽️!!!!!! Let’s go @Chiney321!! And to all my other Beautiful, Powerful Black Queens continue to push the envelope, break thru barriers and defy expectations as Chiney says! https://t.co/UctUmUNCYQ",2020-06-23 18:56:13+00:00,iPhone,KingJames | iPhone,18,No,Yes,without Image/URL,0,on the Let s go @Chiney321 And to all my other Beautiful Powerful Black Queens continue to push the envelope break thru barriers and defy expectations as Chiney says ,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8346}",0.8346,positive
KingJames,"The easiest way to keep us from changing anything is to keep us from voting. As athletes, we stand on the shoulders of giants. We must continue their fight on behalf our community. @morethanavote #BlackLivesMatter https://t.co/VXqJBgtO2n",2020-06-23 16:21:14+00:00,iPhone,KingJames | iPhone,16,Yes,Yes,with Image/URL,1,The easiest way to keep us from changing anything is to keep us from voting As athletes we stand on the shoulders of giants We must continue their fight on behalf our community @morethanavote #BlackLivesMatter ,"{'neg': 0.066, 'neu': 0.863, 'pos': 0.071, 'compound': 0.0516}",0.0516,positive
KingJames,To my brothers and sisters in sports and arts. We have incredible influence in our community. We need to use this moment to demand change. I gotta be honest…I struggle with what to demand because so damn much needs to change. But I’m starting with our right to vote.,2020-06-23 16:21:00+00:00,iPhone,KingJames | iPhone,16,No,No,without Image/URL,0,To my brothers and sisters in sports and arts We have incredible influence in our community We need to use this moment to demand change I gotta be honest I struggle with what to demand because so damn much needs to change But I m starting with our right to vote ,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.7425}",-0.7425,negative
KingJames,🤜🏽🤛🏾 LETS GET IT BROTHER!!!! @morethanavote https://t.co/bm9ma57E5q,2020-06-23 02:28:16+00:00,iPhone,KingJames | iPhone,2,No,Yes,without Image/URL,0, LETS GET IT BROTHER @morethanavote ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,And...everyone welcome this game changer (on and off the field) @PatrickMahomes to the family. Means a lot my Brother to have your voice in this with us. 🙏🏾 #MoreThanAVote #BlackLivesMatter,2020-06-23 02:00:18+00:00,iPhone,KingJames | iPhone,2,No,No,without Image/URL,2,And everyone welcome this game changer on and off the field @PatrickMahomes to the family Means a lot my Brother to have your voice in this with us #MoreThanAVote #BlackLivesMatter,"{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4588}",0.4588,positive
KingJames,We live!!! https://t.co/myvC7O9Omi Thank you to every incredible athlete and artist working to help us pull this together. Change doesn’t happen sitting on the sideline. Use our site to register and join our fight against voter suppression. ✊🏾👑 #MoreThanAVote #BlackLivesMatter https://t.co/qcowjYBefW,2020-06-23 01:59:23+00:00,iPhone,KingJames | iPhone,1,No,Yes,without Image/URL,2,We live ,"{'neg': 0.054, 'neu': 0.773, 'pos': 0.173, 'compound': 0.6884}",0.6884,positive
KingJames,Sickening! @BubbaWallace my brother! Know you don’t stand alone! I’m right here with you as well as every other athlete. I just want to continue to say how proud I am of you for continuing to take a stand for change here in America and sports! @NASCAR I salute you as well! 🙏🏾✊🏾👑 https://t.co/1TwkjVHai5,2020-06-22 03:58:03+00:00,iPhone,KingJames | iPhone,3,No,Yes,without Image/URL,0,Sickening @BubbaWallace my brother Know you don t stand alone I m right here with you as well as every other athlete I just want to continue to say how proud I am of you for continuing to take a stand for change here in America and sports @NASCAR I salute you as well ,"{'neg': 0.091, 'neu': 0.744, 'pos': 0.165, 'compound': 0.5216}",0.5216,positive
KingJames,FACTS!!! Mr. Chambers ain’t with the bull jive!! Thank you Mr. Chambers!! https://t.co/NGmejhJ27S,2020-06-20 21:40:29+00:00,iPhone,KingJames | iPhone,21,No,Yes,without Image/URL,0,FACTS Mr Chambers ain t with the bull jive Thank you Mr Chambers ,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.5673}",0.5673,positive
KingJames,Said it last week about GA.  This is SYSTEMIC RACISM and OPPRESSION.  So angry man. 😤😤😤 #BlackLivesMatter ✊🏾 #MoreThanaVote 🖐🏾 https://t.co/o9440Ugyzv,2020-06-20 17:24:13+00:00,iPhone,KingJames | iPhone,17,No,Yes,without Image/URL,2,Said it last week about GA This is SYSTEMIC RACISM and OPPRESSION So angry man #BlackLivesMatter #MoreThanaVote ,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.8565}",-0.8565,negative
KingJames,Ha! I’m going to say I think you are!! Beautiful follow-thru on that shot buddy! 💪🏾🙏🏾👑 https://t.co/fMUocbVMRL,2020-06-20 16:52:52+00:00,iPhone,KingJames | iPhone,16,No,Yes,without Image/URL,0,Ha I m going to say I think you are Beautiful follow thru on that shot buddy ,"{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.816}",0.816,positive
KingJames,🗣🗣🗣🗣🗣🗣🗣 https://t.co/YnPs1MPKQy,2020-06-20 02:15:38+00:00,iPhone,KingJames | iPhone,2,No,Yes,without Image/URL,0, ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,Now we need a conviction and sentencing to the FULL AMOUNT!!! #JusticeForNakiaCrawford,2020-06-18 19:44:23+00:00,iPhone,KingJames | iPhone,19,No,No,without Image/URL,1,Now we need a conviction and sentencing to the FULL AMOUNT #JusticeForNakiaCrawford,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.3561}",-0.3561,negative
KingJames,Music 🎶 to Our ears for US who love and bleed the city of AKRON! #JusticeForNakiaCrawford https://t.co/0iUlfoHe3j,2020-06-18 19:42:37+00:00,iPhone,KingJames | iPhone,19,No,Yes,without Image/URL,1,Music to Our ears for US who love and bleed the city of AKRON #JusticeForNakiaCrawford ,"{'neg': 0.0, 'neu': 0.77, 'pos': 0.23, 'compound': 0.6696}",0.6696,positive
KingJames,@Hawk @jeffokudah @allysonfelix @realtuffjuice @MariaTaylor @Arike_O @_ajawilson22 Jason Heyward @SloaneStephens @JozyAltidore #MoreThanAVote,2020-06-17 17:33:32+00:00,iPhone,KingJames | iPhone,17,No,No,without Image/URL,1,@Hawk @jeffokudah @allysonfelix @realtuffjuice @MariaTaylor @Arike O @ ajawilson22 Jason Heyward @SloaneStephens @JozyAltidore #MoreThanAVote,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive
KingJames,"Really proud to welcome all these leaders to the cause. 💪🏾 Thank you for giving this your passion, leadership, and massive show of support. We’re just getting started!! 🚀 As mama always told me, “Don’t talk about it, be about it.” ✊🏾👑 #BlackLivesMatter #MoreThanAVote https://t.co/C6Rp1ygIFq",2020-06-17 17:01:46+00:00,iPhone,KingJames | iPhone,17,Yes,Yes,with Image/URL,2,Really proud to welcome all these leaders to the cause Thank you for giving this your passion leadership and massive show of support We re just getting started As mama always told me Don t talk about it be about it #BlackLivesMatter #MoreThanAVote ,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.9504}",0.9504,positive
